"time","extractOutput1","raffinateOutput2","extractOutput2","raffinateOutput1"
1368,4.9875e-15,0.289299,1.02926e-41,14.9972
1372.8,6.54766e-15,0.300576,1.52354e-41,14.9975
1377.6,8.57845e-15,0.312171,2.25035e-41,14.9977
1382.4,1.12166e-14,0.324091,3.31681e-41,14.9979
1387.2,1.46368e-14,0.33634,4.87832e-41,14.9981
1392,1.90622e-14,0.348921,7.1599e-41,14.9982
1396.8,2.4777e-14,0.361841,1.04867e-40,14.9984
1401.6,3.21427e-14,0.375101,1.53274e-40,14.9985
1406.4,7.67574e-35,4.88493e-16,8.81917e-75,0.00512017
1411.2,1.28083e-34,6.07195e-16,1.64211e-74,0.00577551
1416,2.14617e-34,7.59528e-16,3.0641e-74,0.00655489
1420.8,3.59615e-34,9.53576e-16,5.71276e-74,0.00746606
1425.6,6.01479e-34,1.19953e-15,1.06286e-73,0.00851957
1430.4,1.00337e-33,1.51012e-15,1.97221e-73,0.00972832
1435.2,1.6688e-33,1.90124e-15,3.64902e-73,0.0111074
1440,2.76685e-33,2.39256e-15,6.73135e-73,0.0126739
1444.8,4.57275e-33,3.00845e-15,1.23799e-72,0.014447
1449.6,7.53308e-33,3.77903e-15,2.26996e-72,0.0164479
1454.4,1.23701e-32,4.74142e-15,4.14966e-72,0.0186999
1459.2,2.02484e-32,5.94129e-15,7.56317e-72,0.0212282
1464,3.30391e-32,7.4348e-15,1.37437e-71,0.0240604
1468.8,5.374e-32,9.29081e-15,2.49009e-71,0.0272264
1473.6,8.71383e-32,1.15937e-14,4.49834e-71,0.0307583
1478.4,1.40855e-31,1.44467e-14,8.10256e-71,0.0346907
1483.2,2.26986e-31,1.79757e-14,1.45524e-70,0.0390607
1488,3.64669e-31,2.23346e-14,2.60613e-70,0.0439081
1492.8,5.84093e-31,2.77104e-14,4.65392e-70,0.049275
1497.6,9.32736e-31,3.43307e-14,8.28723e-70,0.0552067
1502.4,1.48504e-30,4.24718e-14,1.47156e-69,0.061751
1507.2,2.35739e-30,5.24688e-14,2.60573e-69,0.0689585
1512,3.73119e-30,6.47271e-14,4.60127e-69,0.0768828
1516.8,5.8884e-30,7.97373e-14,8.10265e-69,0.0855804
1521.6,9.26592e-30,9.80915e-14,1.42294e-68,0.0951106
1526.4,1.45389e-29,1.20504e-13,2.49211e-68,0.105536
1531.2,2.27477e-29,1.47833e-13,4.35286e-68,0.116921
1536,3.54906e-29,1.81114e-13,7.58259e-68,0.129335
1540.8,5.52166e-29,2.21588e-13,1.31736e-67,0.142848
1545.6,8.56673e-29,2.70744e-13,2.28266e-67,0.157534
1550.4,1.32544e-28,3.30365e-13,3.94492e-67,0.173469
1555.2,2.04507e-28,4.02583e-13,6.79988e-67,0.190732
1560,3.14684e-28,4.89948e-13,1.16907e-66,0.209406
1564.8,4.82909e-28,5.95499e-13,2.00475e-66,0.229573
1569.6,7.39075e-28,7.2286e-13,3.42902e-66,0.25132
1574.4,1.12811e-27,8.7634e-13,5.8503e-66,0.274734
1579.2,1.71738e-27,1.06107e-12,9.95611e-66,0.299906
1584,2.60756e-27,1.28312e-12,1.6901e-65,0.326927
1588.8,3.94883e-27,1.54971e-12,2.86191e-65,0.35589
1593.6,5.96451e-27,1.86939e-12,4.8342e-65,0.386887
1598.4,8.98584e-27,2.25225e-12,8.14568e-65,0.420015
1603.2,1.35029e-26,2.71022e-12,1.36921e-64,0.455367
1608,2.0239e-26,3.2574e-12,2.29596e-64,0.49304
1612.8,3.02588e-26,3.91038e-12,3.84074e-64,0.533128
1617.6,4.51251e-26,4.6887e-12,6.40963e-64,0.575725
1622.4,6.71273e-26,5.61533e-12,1.06716e-63,0.620926
1627.2,9.96095e-26,6.71725e-12,1.77262e-63,0.668822
1632,1.47445e-25,8.02611e-12,2.93768e-63,0.719506
1636.8,2.17721e-25,9.57902e-12,4.85751e-63,0.773064
1641.6,3.20712e-25,1.14194e-11,8.0142e-63,0.829584
1646.4,4.71291e-25,1.35979e-11,1.31936e-62,0.889148
1651.2,6.90926e-25,1.6174e-11,2.16745e-62,0.951838
1656,1.01054e-24,1.92167e-11,3.55337e-62,1.01773
1660.8,1.47457e-24,2.28067e-11,5.81386e-62,1.0869
1665.6,2.14674e-24,2.70377e-11,9.494e-62,1.1594
1670.4,3.1182e-24,3.20189e-11,1.54748e-61,1.23532
